112-1,Ｂ Ａ Ｃ Ｂ Ｃ Ａ Ｄ Ｃ Ｂ Ｂ Ａ Ａ Ｄ Ｂ Ｄ Ｂ Ｃ Ｄ Ｄ Ｂ Ｂ Ａ Ｃ Ｂ Ｃ Ｃ Ａ Ｂ Ｃ Ｂ Ｃ Ｄ Ｃ Ｃ Ｄ Ｄ Ｃ Ｂ Ｄ Ｂ Ｂ Ｂ Ｂ Ａ Ｄ Ａ Ｄ Ｂ Ａ Ｂ Ｄ Ｃ Ｄ Ｃ Ａ Ｃ Ｄ Ｂ Ａ Ｂ Ａ Ｃ Ｃ Ｄ Ａ Ａ Ｃ Ｄ Ｃ Ｂ Ａ Ｂ Ａ Ｂ Ａ Ｃ Ｃ Ｃ Ｄ Ｂ Ｂ Ｄ Ｃ Ｃ Ｂ Ｂ Ａ Ｂ Ｃ Ｂ Ｃ Ｂ Ｄ Ｃ Ｄ Ｄ Ｄ Ｂ Ａ Ｃ
112-2,Ａ Ｄ Ａ Ｄ Ａ Ｃ Ｄ Ｄ Ａ Ａ Ｂ Ｃ Ｂ Ａ Ｂ Ｂ Ｂ Ｄ Ｄ Ｃ Ｃ Ｄ Ｂ Ｄ Ａ Ｄ Ｂ Ｃ Ｄ Ｃ Ｃ Ｃ Ｃ Ｂ Ｂ Ｃ Ｃ Ｄ Ｂ Ｄ Ｃ Ｄ Ｄ Ｃ Ｂ Ｂ Ｄ Ｃ Ｂ Ｂ Ｄ Ｃ Ｂ Ａ Ｃ Ｃ Ｂ Ｃ Ｃ Ｃ Ｄ Ａ Ｂ Ｄ Ｃ Ａ Ｂ Ａ Ｂ Ａ Ｃ Ｂ Ｂ Ａ Ｄ Ａ Ａ Ｄ Ｄ Ａ Ｂ Ｂ Ｂ Ｂ Ｄ Ｂ Ｄ Ｂ Ｄ Ｂ Ｃ Ａ Ｂ Ｄ Ｄ Ｂ Ａ Ａ Ｃ Ｃ
112-1,Ａ Ｄ Ａ Ｃ Ａ Ｄ Ｄ Ａ Ａ Ｃ Ｃ Ｄ Ｃ Ｄ Ｂ Ｂ Ｃ Ａ Ｃ Ｄ Ａ Ｄ Ｄ Ｃ Ｄ Ｃ Ｄ Ｃ Ｄ Ｃ Ｃ Ａ Ｄ Ａ Ｃ Ａ Ｂ Ｃ Ａ Ｂ Ｂ Ｃ Ａ Ｂ Ｂ Ｂ Ｄ Ｂ Ａ Ａ Ａ Ｄ Ｄ Ａ Ｃ Ａ Ｄ Ａ Ｂ Ｄ Ａ Ｄ Ａ Ｄ Ｃ Ｄ Ｄ Ａ Ｄ Ｄ Ａ Ｃ Ｃ Ｂ Ｄ Ｄ Ｄ Ｂ Ｂ Ｄ Ｄ Ｃ Ｂ Ｂ Ａ Ｄ Ｃ Ｂ Ｃ Ｄ Ｂ Ａ Ｃ Ｄ Ｄ Ｂ Ｃ Ｂ Ｃ Ｂ
112-1,Ｂ Ｂ Ｄ Ｃ Ｄ Ｂ Ｃ Ｂ Ｂ Ｃ Ｂ Ａ Ｂ Ｃ Ｂ Ａ Ｄ Ａ Ｂ Ｃ Ｂ Ｃ Ａ Ｄ Ａ Ｄ Ｄ Ｂ Ｃ Ａ Ｂ Ａ Ｄ Ｃ Ｃ Ｃ Ｂ Ｂ Ｃ Ｂ Ａ Ｄ Ｂ Ｄ Ａ Ｂ Ｂ Ｄ Ｃ Ａ Ｂ Ａ Ｃ Ｂ Ｂ Ｃ Ｂ Ｂ Ａ Ｃ Ａ Ｃ Ｃ Ａ Ｄ Ｄ Ｂ Ｂ Ａ Ｄ Ａ Ａ Ａ Ａ Ａ Ａ Ｄ Ｃ Ｄ Ｄ Ａ Ｄ Ｃ Ｂ Ｂ Ｄ Ａ Ｃ Ａ Ｃ Ａ Ｄ Ｃ Ｄ Ｂ Ｂ Ｄ Ｄ Ｄ Ｂ
111-2,Ａ Ａ Ｂ Ａ Ｂ Ｂ Ｄ Ｃ Ｂ Ｄ Ｂ Ｃ Ａ Ｄ Ｄ Ｄ Ｂ Ａ Ｄ Ｂ Ｂ Ｄ Ｃ Ａ Ｂ Ｂ Ｃ Ａ Ｄ Ａ Ｄ Ａ Ｃ Ｃ Ａ Ｂ Ａ Ｃ Ａ Ｂ Ａ Ｂ Ｃ Ｂ Ｄ Ｂ Ｂ Ａ Ｄ Ｄ Ｃ Ａ Ｄ Ｄ Ｃ Ｂ Ａ Ｄ Ｂ Ｂ Ａ Ｂ Ｄ Ａ Ａ Ｃ Ｂ Ｃ Ｂ Ｄ Ａ Ａ Ａ Ｂ Ａ Ｂ Ａ Ｄ Ｃ Ｂ Ｃ Ｃ Ｂ Ｂ Ｄ Ａ Ｄ Ｂ Ｂ Ｃ Ｂ Ａ Ｄ Ｂ Ｄ Ａ Ｃ Ａ Ｃ Ｂ
111-2,Ｃ Ｃ Ａ Ａ Ｄ Ｃ Ｂ Ａ Ａ Ｃ Ｂ Ｄ Ｄ Ｄ Ａ Ａ Ｃ Ｄ Ｂ Ａ Ａ Ｃ Ａ Ｂ Ｂ Ｄ Ｄ Ａ Ｃ Ｄ Ｂ Ｄ Ｄ Ａ Ａ Ｄ Ａ Ｃ Ｂ Ｂ Ｂ Ｃ Ａ Ｂ Ｃ Ｄ Ｂ Ｃ Ｃ Ｃ Ｂ Ａ Ｂ Ｃ Ｄ Ｂ Ｂ Ｄ Ｃ Ｂ Ｂ Ｃ Ｂ Ａ Ｃ Ａ Ａ Ｃ Ｃ Ｂ Ｂ Ａ Ｂ Ａ Ｂ Ｃ Ｃ Ｄ Ａ Ｃ Ｃ Ｃ Ｂ Ａ Ａ Ａ Ｃ Ｃ Ｃ Ａ Ｂ Ａ Ｄ Ｂ Ｂ Ｄ Ａ Ｄ Ｂ Ａ
111-1,Ｂ Ｃ Ｄ Ａ Ａ Ｃ Ａ Ｄ Ａ Ｂ Ｄ Ｄ Ｃ Ｄ Ｃ Ｃ Ｃ Ｃ Ａ Ｂ Ａ Ａ Ｂ Ａ Ｃ Ａ Ａ Ｂ Ａ Ｂ Ａ Ｂ Ｃ Ｃ Ａ Ｄ Ｄ Ｃ Ｂ Ｄ Ｃ Ａ Ａ Ｄ Ｃ Ａ Ｃ Ｂ Ｂ Ｃ Ｃ Ｄ Ｂ Ｂ Ａ Ｄ Ｃ Ｃ Ｄ Ａ Ｂ Ｂ Ｃ Ｄ Ａ Ａ Ｃ Ａ Ｂ Ａ Ｄ Ｂ Ｃ Ａ Ｃ Ｃ Ｂ Ｂ Ｂ Ｂ Ｄ Ｂ Ａ Ａ Ｄ Ｃ Ｂ Ｃ Ｂ Ｃ Ｄ Ｃ Ｃ Ｃ Ｂ Ｂ Ｃ Ａ Ｄ Ｃ
111-1,Ｄ Ｂ Ｃ Ｃ Ｂ Ｄ Ｄ Ａ Ｃ Ｃ Ｂ Ａ Ｄ Ａ Ｂ Ｂ Ｄ Ａ Ａ Ｃ Ｂ Ｂ Ａ Ｃ Ｃ Ｄ Ｃ Ｂ Ｂ Ｃ Ｃ Ｃ Ｃ Ｃ Ｃ Ａ Ｃ Ｃ Ｂ Ｂ Ａ Ｄ Ａ Ｂ Ａ Ａ Ａ Ｄ Ａ Ｃ Ｂ Ａ Ｂ Ｄ Ｂ Ｂ Ｃ Ｃ Ａ Ｃ Ｃ Ｄ Ｄ Ａ Ｂ Ｂ Ｂ Ｃ Ｃ Ｄ Ｄ Ｂ Ａ Ａ Ａ Ｄ Ｄ Ｂ Ａ Ｄ Ａ Ｄ Ｃ Ｂ Ａ Ｄ Ｃ Ａ Ｂ Ａ Ｄ Ａ Ｃ Ａ Ｂ Ｂ Ａ Ｂ Ｄ Ｂ
110-2,Ｄ Ａ Ｄ Ｃ Ｄ Ｄ Ｂ Ｄ Ｄ Ｃ Ｄ Ｄ Ｂ Ｃ Ｂ Ｃ Ｃ Ｄ Ｄ Ｂ Ｄ Ｂ Ｂ Ｃ Ｃ Ｃ Ａ Ｃ Ａ Ａ Ｄ Ｄ Ｂ Ａ Ｂ Ａ Ｃ Ｃ Ｄ Ｂ Ｄ Ａ Ｂ Ｄ Ｄ Ａ Ａ Ｃ Ｂ Ｃ Ａ Ｂ Ａ Ａ Ａ Ａ Ｂ Ｄ Ｂ Ｃ Ｃ Ｄ Ａ Ｂ Ｃ Ａ Ｄ Ａ Ｃ Ｄ Ａ Ｄ Ｂ Ｂ Ｃ Ａ Ａ Ａ Ｂ Ｂ Ｃ Ｃ Ｄ Ｄ Ｃ Ａ Ｃ Ｄ Ｃ Ｂ Ｂ Ｄ Ｄ Ａ Ｃ Ａ Ｂ Ｂ Ｄ Ａ
110-2,Ｃ Ｃ Ｃ Ｃ Ｃ Ｂ Ｄ Ｂ Ａ Ｃ Ｄ Ｂ Ｄ Ｃ Ｄ Ａ Ｄ Ｂ Ｂ Ｄ Ａ Ｃ Ａ Ｂ Ｃ Ｄ Ｃ Ａ Ｄ Ａ Ａ Ａ Ｃ Ｃ Ｂ Ｄ Ｄ Ａ Ｄ Ｃ Ｄ Ｃ Ｂ Ｄ Ｃ Ｂ Ｃ Ｂ Ｂ Ｃ Ｂ Ｂ Ｃ Ｂ Ａ Ｃ Ｂ Ａ Ａ Ａ Ｄ Ｃ Ｄ Ａ Ｃ Ｄ Ｃ Ｂ Ｄ Ｃ Ａ Ａ Ｄ Ａ Ｂ Ｃ Ｂ Ａ Ａ Ａ Ａ Ａ Ｄ Ｄ Ｂ Ｄ Ｄ Ｄ Ｄ Ｃ Ａ Ｄ Ｄ Ｂ Ｃ Ｄ Ａ Ａ Ａ Ｃ
